,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
1822,W-12094,Rain,Moderate,US/Central,KBTR,Baton Rouge,LA,2020-06-08
1838,W-12110,Fog,Severe,US/Central,KBTR,Baton Rouge,LA,2020-06-15
1852,W-12124,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-06-24
1877,W-12149,Fog,Severe,US/Central,KBTR,Baton Rouge,LA,2020-07-01
1878,W-12150,Fog,Moderate,US/Central,KBTR,Baton Rouge,LA,2020-07-03
1900,W-12172,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-07-07
1911,W-12183,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-07-19
1912,W-12184,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-07-20
1915,W-12187,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-07-24
1953,W-12225,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-08-13
1960,W-12232,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-08-25
1965,W-12237,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-08-26
1970,W-12242,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-08-27
1984,W-12256,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-08-29
1988,W-12260,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-09-05
1994,W-12266,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-09-19
2002,W-12274,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-09-21
2010,W-12282,Fog,Severe,US/Central,KBTR,Baton Rouge,LA,2020-09-23
2033,W-12305,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-10-08
2036,W-12308,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-10-09
2078,W-12350,Precipitation,UNK,US/Central,KBTR,Baton Rouge,LA,2020-10-24
2090,W-12362,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-11-07
2104,W-12376,Fog,Moderate,US/Central,KBTR,Baton Rouge,LA,2020-11-13
2108,W-12380,Cold,Severe,US/Central,KBTR,Baton Rouge,LA,2020-11-17
2110,W-12382,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-11-25
2116,W-12388,Fog,Severe,US/Central,KBTR,Baton Rouge,LA,2020-11-26
2149,W-12421,Rain,Light,US/Central,KBTR,Baton Rouge,LA,2020-12-04
2189,W-12461,Fog,Severe,US/Central,KBTR,Baton Rouge,LA,2020-12-21
2208,W-15448,Rain,Light,US/Central,KCMY,Sparta,WI,2020-01-09
2250,W-15490,Snow,Light,US/Central,KCMY,Sparta,WI,2020-01-25
2288,W-15528,Snow,Light,US/Central,KCMY,Sparta,WI,2020-03-06
2406,W-15646,Rain,Light,US/Central,KCMY,Sparta,WI,2020-05-01
2581,W-15821,Fog,Severe,US/Central,KCMY,Sparta,WI,2020-08-04
2591,W-15831,Rain,Light,US/Central,KCMY,Sparta,WI,2020-08-16
2593,W-15833,Fog,Severe,US/Central,KCMY,Sparta,WI,2020-08-18
2648,W-15888,Fog,Severe,US/Central,KCMY,Sparta,WI,2020-09-14
2672,W-15912,Rain,Light,US/Central,KCMY,Sparta,WI,2020-10-07
2717,W-15957,Rain,Light,US/Central,KCMY,Sparta,WI,2020-11-01
2769,W-16009,Snow,Light,US/Central,KCMY,Sparta,WI,2020-11-30
2808,W-19259,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-01-05
2812,W-19263,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-01-06
2816,W-19267,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-01-08
2981,W-19432,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-03-01
3130,W-19581,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-04-02
3148,W-19599,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-04-11
3154,W-19605,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-04-15
3164,W-19615,Snow,Light,US/Mountain,KDIJ,Driggs,ID,2020-04-16
3182,W-19633,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-04-30
3185,W-19636,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-05-03
3186,W-19637,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-05-04
3252,W-19703,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-06-17
3258,W-19709,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-06-18
3274,W-19725,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-06-30
3318,W-19769,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-09-07
3375,W-19826,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-11-16
3381,W-19832,Rain,Light,US/Mountain,KDIJ,Driggs,ID,2020-11-18
